,energy,atten_length,trans_fract,atten_fract,distribution
478,24000,0.08252907626755623,5.466119375407354e-06,0.9999945338806246,4392714.067414304
479,24050,0.0830154370358723,5.868260156582342e-06,0.9999941317398434,4386360.058598873
480,24100,0.08350367648684417,6.296474876247568e-06,0.9999937035251237,4354590.014521708
481,24150,0.08399379788278898,6.752208276341452e-06,0.9999932477917236,4322819.970444543
482,24200,0.08448580448204848,7.2369699175813665e-06,0.9999927630300824,4291049.926367378
483,24250,0.08497969953897054,7.752336269058595e-06,0.999992247663731,4259279.882290212
484,24300,0.0854754863038942,8.299952827808575e-06,0.9999917000471722,4229149.582423481
485,24350,0.08597316802313108,8.881536267277524e-06,0.9999911184637327,4229149.582423481
486,24400,0.08647274793894774,9.498876613560896e-06,0.9999905011233864,4229149.582423481
487,24450,0.0869742292895512,1.0153839448229621e-05,0.9999898461605518,4229149.582423481
488,24500,0.08747761530906892,1.0848368136490542e-05,0.9999891516318635,4229149.582423481
489,24550,0.08798290922753439,1.1584486079395945e-05,0.9999884155139206,4229149.582423481
490,24600,0.08849011427086875,1.2364298988737111e-05,0.9999876357010112,4200863.353803828
491,24650,0.08899923366086396,1.3189997183221982e-05,0.9999868100028168,4169546.4578320677
492,24700,0.0895102706151654,1.4063857904476248e-05,0.9999859361420955,4138229.5618603076
493,24750,0.09002322834725611,1.498824765136231e-05,0.9999850117523487,4106912.665888547
494,24800,0.09053811006643835,1.5965624531050627e-05,0.9999840343754689,4075595.7699167863
495,24850,0.09105491897781788,1.6998540625247693e-05,0.9999830014593748,4067918.0792914513
496,24900,0.09157365828228636,1.808964436992035e-05,0.9999819103556301,4067918.0792914513
497,24950,0.09209433117650369,1.9241682946824795e-05,0.9999807583170531,4067918.0792914513
498,25000,0.09261694085288293,2.0457504685107684e-05,0.9999795424953148,4067918.0792914513
499,25050,0.09314149049957077,2.1740061471186504e-05,0.9999782599385288,4067918.0792914513
500,25100,0.09366798330043358,2.3092411165115073e-05,0.9999769075888348,4049212.265903192
501,25150,0.09419642243503701,2.451772002155324e-05,0.9999754822799785,4018367.573614039
502,25200,0.09472681107863233,2.6019265113486366e-05,0.9999739807348865,3987522.8813248863
503,25250,0.09525915240213746,2.7600436756745303e-05,0.9999723995632432,3956678.189035733
504,25300,0.09579344957212005,2.926474093339696e-05,0.9999707352590667,3925833.49674658
505,25350,0.09632970575078174,3.101580171202873e-05,0.999968984198288,3909117.6635060064
